Job Title,Department,Age,Gender,Marital Status,Years of Service,Mode of Exit,Date of Exit,Reasons For Exit,Salary,Status
Network Engineer,Human Resources,49,Male,Single,5,Termination,9/21/2023,Performance issues,351.75,1
Customer Support Agent,Sales & Marketing,56,Female,Married,5,,,,323.75,0
IT Support Engineer,Network Operations,25,Female,Single,4,,,,594.67,0
Telecom Technician,Data Analytics,47,Female,Married,4,,,,237.67,0
IT Support Engineer,Sales & Marketing,33,Female,Single,2,,,,395.0,0
Telecom Technician,Data Analytics,29,Male,Married,7,,,,423.67,0
Software Developer,Customer Service,29,Male,Married,7,,,,438.38,0
Marketing Analyst,Sales & Marketing,25,Female,Single,8,,,,373.0,0
Project Manager,Network Operations,54,Male,Single,4,,,,433.38,0
IT Support Engineer,Data Analytics,51,Male,Married,2,,,,225.63,0
Data Scientist,Field Operations,22,Male,Married,8,,,,321.38,0
Sales Executive,Project Management,36,Female,Single,6,,,,189.63,0
Marketing Analyst,Sales & Marketing,60,Female,Single,2,Retirement,9/25/2023,Career growth,292.5416667,1
Product Manager,Field Operations,29,Female,Married,7,Resignation,12/20/2023,Pursuing education,136.0416667,1
HR Specialist,Customer Service,32,Male,Single,2,,,,352.04,0
Project Manager,IT & Software,42,Male,Married,2,,,,588.29,0
Sales Executive,Network Operations,55,Female,Single,8,,,,265.33,0
Sales Executive,Billing,31,Male,Married,5,,,,424.0,0
Telecom Technician,Network Operations,25,Male,Married,7,,,,127.75,0
Telecom Technician,IT & Software,50,Female,Single,8,,,,381.29,0
Data Scientist,Project Management,36,Female,Single,4,,,,548.54,0
Marketing Analyst,Data Analytics,56,Male,Single,2,,,,161.92,0
Software Developer,Project Management,52,Female,Married,3,,,,252.08,0
Network Engineer,IT & Software,25,Female,Single,3,,,,443.08,0
Marketing Analyst,IT & Software,57,Male,Married,8,,,,177.17,0
Telecom Technician,Field Operations,29,Male,Married,7,,,,501.33,0
Project Manager,Network Operations,24,Male,Married,7,,,,408.5,0
IT Support Engineer,Project Management,22,Male,Married,8,,,,260.88,0
Sales Executive,Customer Service,45,Male,Married,4,Resignation,8/9/2024,End of service,175.3333333,1
Marketing Analyst,Field Operations,60,Female,Single,4,Retirement,12/16/2024,Policy violation,301.1666667,1
IT Support Engineer,Sales & Marketing,36,Male,Married,4,,,,306.0,0
HR Specialist,Data Analytics,36,Male,Single,2,,,,459.92,0
Product Manager,IT & Software,27,Female,Single,8,,,,345.42,0
Billing Specialist,Field Operations,22,Female,Married,4,,,,590.38,0
HR Specialist,Human Resources,55,Female,Married,2,,,,428.63,0
Telecom Technician,Human Resources,47,Male,Married,6,,,,179.04,0
Project Manager,Project Management,44,Male,Married,6,,,,311.17,0
HR Specialist,Field Operations,31,Female,Married,4,,,,147.38,0
Network Engineer,Data Analytics,31,Female,Single,2,,,,195.75,0
IT Support Engineer,Network Operations,44,Female,Single,7,,,,440.29,0
Telecom Technician,Billing,60,Female,Single,1,Retirement,12/22/2024,Restructuring,403.9166667,1
Billing Specialist,Sales & Marketing,44,Male,Married,3,,,,282.25,0
Software Developer,Data Analytics,55,Female,Single,8,,,,318.04,0
IT Support Engineer,Data Analytics,56,Male,Single,7,,,,393.25,0
Network Engineer,Human Resources,22,Female,Married,2,,,,310.5,0
Product Manager,Network Operations,33,Male,Single,7,,,,196.04,0
Software Developer,Data Analytics,39,Male,Married,7,Termination,6/12/2024,End of service,151.125,1
Billing Specialist,Field Operations,26,Female,Single,3,,,,424.0,0
IT Support Engineer,Sales & Marketing,41,Male,Single,3,,,,404.5,0
Network Engineer,Sales & Marketing,43,Female,Single,8,,,,426.88,0
Sales Executive,Customer Service,27,Female,Single,3,Termination,12/14/2024,Work-life balance,279.375,1
Product Manager,Network Operations,55,Female,Married,8,,,,429.75,0
Network Engineer,Project Management,50,Male,Married,8,,,,390.29,0
IT Support Engineer,Human Resources,40,Male,Single,3,,,,325.25,0
Project Manager,Data Analytics,27,Female,Married,8,,,,233.08,0
Project Manager,Network Operations,23,Female,Single,4,,,,191.13,0
Project Manager,Project Management,22,Male,Single,4,,,,417.08,0
Billing Specialist,Project Management,50,Female,Single,1,,,,558.42,0
Marketing Analyst,IT & Software,29,Female,Single,5,,,,355.29,0
Telecom Technician,Human Resources,24,Male,Single,5,,,,410.29,0
Software Developer,Project Management,24,Female,Married,4,,,,271.63,0
Billing Specialist,IT & Software,25,Male,Single,3,,,,516.17,0
HR Specialist,Human Resources,48,Female,Single,5,,,,310.92,0
Sales Executive,Sales & Marketing,23,Male,Single,5,,,,272.13,0
Data Scientist,Human Resources,29,Female,Single,4,,,,478.13,0
HR Specialist,Field Operations,30,Male,Married,4,,,,230.17,0
IT Support Engineer,Billing,45,Male,Married,6,,,,444.83,0
Marketing Analyst,Field Operations,55,Female,Married,6,Retirement,4/29/2023,Better opportunity,289.25,1
Telecom Technician,IT & Software,53,Male,Married,8,,,,231.08,0
Sales Executive,Field Operations,44,Male,Married,2,,,,365.33,0
IT Support Engineer,Field Operations,51,Male,Married,7,,,,440.5,0
Billing Specialist,Sales & Marketing,42,Male,Married,4,,,,531.79,0
Product Manager,Project Management,22,Male,Married,8,,,,469.79,0
HR Specialist,Field Operations,28,Female,Single,6,,,,265.04,0
Software Developer,Project Management,45,Male,Married,2,,,,163.5,0
Telecom Technician,Human Resources,33,Male,Married,4,,,,413.79,0
Software Developer,IT & Software,25,Female,Single,3,,,,510.0,0
Sales Executive,Billing,53,Female,Married,8,,,,587.29,0
HR Specialist,Human Resources,23,Male,Single,7,,,,240.79,0
Data Scientist,Customer Service,40,Male,Single,4,Termination,10/4/2023,Work-life balance,208.0833333,1
Project Manager,Billing,57,Female,Married,4,,,,414.54,0
Data Scientist,Billing,35,Female,Married,8,,,,471.58,0
Software Developer,Project Management,60,Female,Single,4,Retirement,8/8/2023,Work-life balance,217.8333333,1
Billing Specialist,Project Management,51,Male,Single,4,,,,436.29,0
Network Engineer,Human Resources,33,Female,Married,7,,,,162.17,0
Product Manager,Field Operations,54,Male,Single,8,,,,417.58,0
Marketing Analyst,IT & Software,34,Female,Single,2,,,,243.13,0
Customer Support Agent,Project Management,48,Male,Single,5,,,,341.54,0
Billing Specialist,Human Resources,43,Female,Married,7,,,,388.13,0
Marketing Analyst,Data Analytics,24,Male,Married,4,,,,357.54,0
Data Scientist,Customer Service,30,Female,Married,7,,,,404.67,0
IT Support Engineer,Data Analytics,52,Male,Married,7,,,,219.67,0
HR Specialist,Sales & Marketing,41,Male,Single,3,,,,237.5,0
Billing Specialist,Billing,24,Male,Single,10,Termination,6/25/2024,End of service,204.1666667,1
Product Manager,Data Analytics,28,Male,Single,6,,,,401.42,0
Project Manager,Billing,39,Male,Married,8,,,,346.83,0
Product Manager,Network Operations,25,Female,Married,8,,,,140.38,0
Sales Executive,Project Management,60,Male,Single,10,Retirement,8/9/2023,Personal reasons,358.0,1
Software Developer,Sales & Marketing,38,Female,Single,8,,,,590.79,0
Marketing Analyst,Billing,39,Male,Married,3,,,,256.38,0
Software Developer,Sales & Marketing,37,Female,Single,5,,,,537.08,0
Data Scientist,Customer Service,29,Female,Single,4,,,,154.88,0
HR Specialist,Billing,40,Male,Single,2,Retirement,7/25/2024,Restructuring,328.4166667,1
IT Support Engineer,Customer Service,53,Male,Single,2,,,,471.63,0
Product Manager,Customer Service,31,Female,Single,10,Resignation,4/4/2024,Performance issues,335.5833333,1
Product Manager,Network Operations,22,Female,Single,7,,,,244.42,0
Customer Support Agent,Sales & Marketing,47,Male,Single,4,,,,257.42,0
Data Scientist,Field Operations,53,Female,Single,3,,,,281.58,0
HR Specialist,Sales & Marketing,47,Male,Single,8,,,,465.83,0
Billing Specialist,Data Analytics,60,Female,Single,1,Retirement,8/31/2024,Personal reasons,389.8333333,1
Network Engineer,IT & Software,60,Male,Married,8,Resignation,5/14/2023,End of service,510.75,1
Network Engineer,Customer Service,24,Male,Single,4,,,,522.17,0
Project Manager,Project Management,51,Female,Married,2,,,,390.54,0
Billing Specialist,Billing,48,Male,Single,4,,,,227.67,0
Telecom Technician,Human Resources,23,Female,Married,6,,,,330.5,0
IT Support Engineer,Sales & Marketing,56,Male,Married,1,Resignation,9/23/2024,Performance issues,715.7916667,1
Product Manager,Sales & Marketing,46,Female,Single,7,,,,288.63,0
Data Scientist,Network Operations,35,Male,Married,5,,,,327.79,0
Project Manager,IT & Software,27,Female,Married,3,,,,235.38,0
Marketing Analyst,Human Resources,35,Male,Married,7,Termination,2/23/2024,Performance issues,228.5,1
Marketing Analyst,Data Analytics,24,Female,Married,4,,,,562.08,0
Customer Support Agent,Customer Service,28,Male,Married,3,,,,298.04,0
Data Scientist,IT & Software,26,Female,Married,2,,,,456.17,0
HR Specialist,Project Management,42,Female,Married,6,,,,317.08,0
Project Manager,Field Operations,37,Female,Single,5,,,,167.92,0
Software Developer,Network Operations,46,Female,Married,6,,,,207.92,0
Project Manager,Project Management,57,Female,Single,6,,,,454.58,0
Network Engineer,Billing,39,Male,Married,4,Termination,2/11/2024,End of service,200.3333333,1
Marketing Analyst,Billing,54,Female,Single,6,,,,373.04,0
Marketing Analyst,Network Operations,41,Male,Single,3,,,,305.92,0
Data Scientist,Billing,42,Male,Single,2,Termination,5/23/2023,Personal reasons,328.9166667,1
Product Manager,IT & Software,52,Male,Married,8,,,,397.63,0
Network Engineer,Sales & Marketing,28,Male,Single,2,,,,521.42,0
Project Manager,Data Analytics,37,Male,Single,5,,,,608.54,0
HR Specialist,IT & Software,39,Female,Married,3,,,,251.0,0
Project Manager,Data Analytics,58,Female,Married,3,,,,304.75,0
Software Developer,Sales & Marketing,53,Female,Single,7,Resignation,5/8/2023,End of service,232.3333333,1
Marketing Analyst,Customer Service,50,Male,Married,6,,,,426.13,0
Product Manager,Project Management,26,Female,Single,3,Resignation,6/8/2024,Work-life balance,354.7916667,1
Software Developer,Data Analytics,48,Male,Married,7,,,,345.17,0
HR Specialist,Sales & Marketing,28,Male,Single,8,,,,349.83,0
Network Engineer,IT & Software,32,Male,Married,8,,,,404.5,0
Software Developer,Sales & Marketing,44,Male,Married,2,,,,317.88,0
HR Specialist,Billing,22,Male,Married,6,,,,399.75,0
Customer Support Agent,Billing,57,Male,Single,5,,,,370.13,0
Network Engineer,Data Analytics,56,Female,Married,3,Termination,9/12/2023,Restructuring,389.2916667,1
Software Developer,Sales & Marketing,42,Female,Single,7,Resignation,3/31/2024,Pursuing education,737.3333333,1
HR Specialist,Project Management,23,Male,Married,6,,,,275.58,0
Data Scientist,Customer Service,25,Female,Married,6,,,,352.63,0
IT Support Engineer,Data Analytics,36,Male,Single,5,Resignation,6/3/2022,Pursuing education,188.25,1
Network Engineer,Sales & Marketing,60,Female,Married,7,Retirement,7/21/2024,Better opportunity,414.5416667,1
Customer Support Agent,Billing,23,Female,Single,7,,,,386.54,0
Marketing Analyst,Network Operations,49,Female,Single,6,,,,325.75,0
Sales Executive,Sales & Marketing,38,Female,Single,2,,,,469.04,0
Data Scientist,IT & Software,55,Male,Married,4,,,,360.42,0
IT Support Engineer,Project Management,34,Male,Single,5,,,,181.29,0
Billing Specialist,Field Operations,35,Female,Married,4,Resignation,9/27/2024,Policy violation,405.625,1
Sales Executive,Network Operations,33,Male,Single,8,,,,387.13,0
Product Manager,Data Analytics,27,Female,Married,4,,,,283.67,0
Marketing Analyst,Customer Service,23,Male,Married,7,,,,410.42,0
Network Engineer,Human Resources,47,Female,Married,6,,,,183.75,0
Telecom Technician,Customer Service,60,Female,Married,6,Retirement,2/1/2024,Career growth,391.0416667,1
Data Scientist,Data Analytics,43,Male,Married,6,,,,437.29,0
Project Manager,IT & Software,23,Male,Single,2,,,,274.83,0
IT Support Engineer,Data Analytics,32,Male,Single,2,,,,403.83,0
Software Developer,IT & Software,47,Male,Single,7,,,,157.83,0
Billing Specialist,IT & Software,42,Female,Married,4,,,,581.79,0
Billing Specialist,Human Resources,60,Male,Single,2,Retirement,1/11/2025,Better opportunity,281.0416667,1
Marketing Analyst,Project Management,23,Female,Married,2,Termination,8/29/2024,Personal reasons,364.9166667,1
Marketing Analyst,Customer Service,60,Female,Single,2,Retirement,9/20/2024,Career growth,459.0416667,1
Customer Support Agent,IT & Software,31,Male,Single,8,,,,460.04,0
HR Specialist,Human Resources,51,Male,Single,3,,,,160.38,0
HR Specialist,Human Resources,22,Female,Married,5,,,,231.75,0
Product Manager,Field Operations,25,Male,Single,2,,,,517.79,0
Customer Support Agent,Field Operations,33,Male,Married,2,,,,193.13,0
Project Manager,IT & Software,42,Male,Married,3,,,,279.25,0
IT Support Engineer,Human Resources,60,Male,Single,9,Retirement,11/29/2023,Performance issues,432.0416667,1
HR Specialist,IT & Software,58,Female,Married,8,,,,228.54,0
Product Manager,IT & Software,46,Male,Single,3,,,,239.33,0
Software Developer,Field Operations,38,Female,Single,6,,,,595.88,0
Product Manager,Billing,28,Female,Single,4,,,,196.04,0
Customer Support Agent,Data Analytics,51,Male,Single,6,,,,469.38,0
HR Specialist,IT & Software,30,Female,Married,2,,,,504.5,0
Sales Executive,Data Analytics,43,Female,Single,5,,,,374.58,0
Billing Specialist,Project Management,54,Female,Married,2,Termination,3/15/2023,End of service,377.7916667,1
Software Developer,Billing,47,Female,Married,5,,,,258.83,0
HR Specialist,IT & Software,34,Female,Married,7,,,,368.25,0
Software Developer,Human Resources,50,Female,Married,7,,,,179.42,0
Software Developer,Billing,52,Female,Single,6,,,,266.17,0
Software Developer,Human Resources,34,Male,Single,2,Resignation,12/11/2023,Career growth,151.5833333,1
Software Developer,Billing,32,Male,Single,2,Resignation,4/25/2023,Better opportunity,411.3333333,1
Telecom Technician,Field Operations,22,Female,Single,6,,,,296.83,0
Product Manager,Field Operations,60,Female,Single,3,Retirement,7/20/2024,Personal reasons,185.0416667,1
Marketing Analyst,IT & Software,52,Female,Married,2,,,,384.79,0
Sales Executive,Sales & Marketing,23,Female,Single,4,,,,547.25,0
Telecom Technician,IT & Software,42,Female,Married,8,,,,266.33,0
Marketing Analyst,Human Resources,49,Female,Single,6,,,,359.42,0
Product Manager,Billing,52,Female,Married,4,,,,379.13,0
IT Support Engineer,Sales & Marketing,31,Female,Married,8,,,,457.75,0
Telecom Technician,Field Operations,60,Male,Single,1,Retirement,1/17/2025,Performance issues,596.8333333,1
Product Manager,Human Resources,25,Male,Single,7,,,,585.83,0
Marketing Analyst,Human Resources,24,Female,Single,8,,,,444.54,0
Product Manager,Billing,51,Female,Single,3,,,,136.79,0
Product Manager,Network Operations,23,Female,Single,5,Termination,8/14/2024,Restructuring,147.8333333,1
Product Manager,Billing,36,Female,Married,4,,,,501.25,0
Telecom Technician,Customer Service,47,Female,Single,4,,,,229.17,0
Marketing Analyst,Data Analytics,37,Female,Single,4,Resignation,1/23/2024,Pursuing education,172.0416667,1
Product Manager,IT & Software,31,Female,Single,6,,,,125.42,0
IT Support Engineer,Sales & Marketing,60,Male,Married,10,Retirement,9/19/2024,End of service,494.0416667,1
IT Support Engineer,Field Operations,27,Female,Married,2,,,,344.92,0
Product Manager,Field Operations,30,Female,Single,6,,,,300.33,0
IT Support Engineer,Billing,48,Female,Married,2,,,,468.0,0
Data Scientist,Field Operations,55,Female,Married,4,,,,482.54,0
Software Developer,Billing,53,Female,Married,7,,,,347.83,0
Project Manager,Data Analytics,60,Female,Single,4,Retirement,3/5/2024,Pursuing education,176.25,1
IT Support Engineer,Project Management,46,Female,Married,6,,,,146.5,0
Data Scientist,Sales & Marketing,22,Female,Single,6,,,,150.04,0
HR Specialist,Data Analytics,47,Female,Married,7,,,,436.08,0
Billing Specialist,IT & Software,25,Female,Married,6,,,,234.04,0
Network Engineer,Network Operations,23,Male,Single,8,,,,677.0,0
Software Developer,Billing,42,Male,Single,4,,,,499.29,0
Customer Support Agent,Sales & Marketing,56,Female,Married,7,Termination,11/8/2024,Pursuing education,245.125,1
IT Support Engineer,Project Management,44,Female,Married,8,,,,213.5,0
Sales Executive,Human Resources,41,Female,Married,4,,,,357.63,0
IT Support Engineer,IT & Software,57,Female,Married,3,,,,624.38,0
IT Support Engineer,Sales & Marketing,54,Male,Single,4,,,,406.63,0
HR Specialist,Human Resources,51,Female,Married,8,,,,314.25,0
Telecom Technician,Customer Service,45,Female,Married,6,,,,476.04,0
Telecom Technician,IT & Software,33,Female,Married,5,,,,421.25,0
Telecom Technician,Data Analytics,36,Female,Married,6,,,,197.5,0
Product Manager,Project Management,25,Female,Single,1,,,,627.83,0
Product Manager,Field Operations,51,Female,Single,3,,,,145.83,0
Telecom Technician,Sales & Marketing,39,Male,Married,1,,,,292.04,0
Network Engineer,Data Analytics,27,Male,Married,7,,,,384.13,0
HR Specialist,Data Analytics,31,Female,Married,2,Resignation,8/15/2024,Policy violation,351.7916667,1
Project Manager,Customer Service,49,Male,Married,2,,,,318.58,0
Sales Executive,Sales & Marketing,31,Female,Single,8,,,,385.92,0
Network Engineer,Project Management,46,Female,Married,5,,,,347.83,0
HR Specialist,IT & Software,45,Female,Married,8,,,,411.88,0
Network Engineer,Billing,25,Male,Married,8,,,,225.08,0
Marketing Analyst,Billing,50,Male,Single,7,,,,277.92,0
Customer Support Agent,Human Resources,27,Female,Single,5,,,,371.88,0
Project Manager,Data Analytics,25,Male,Single,8,,,,399.79,0
Product Manager,Network Operations,42,Male,Married,8,,,,154.17,0
HR Specialist,Customer Service,50,Male,Single,6,,,,216.29,0
Software Developer,Network Operations,47,Male,Married,8,,,,625.5,0
Network Engineer,Field Operations,41,Male,Single,5,,,,555.79,0
Data Scientist,Data Analytics,47,Male,Single,8,,,,316.58,0
Telecom Technician,Customer Service,51,Male,Married,3,,,,389.79,0
Network Engineer,Customer Service,25,Female,Married,7,,,,288.5,0
Software Developer,Network Operations,50,Female,Single,4,,,,449.92,0
Telecom Technician,Network Operations,34,Male,Married,8,,,,258.29,0
Data Scientist,Project Management,23,Male,Married,6,,,,346.75,0
Sales Executive,Field Operations,51,Male,Single,2,,,,339.17,0
Project Manager,Customer Service,34,Female,Single,6,,,,192.79,0
Billing Specialist,Customer Service,58,Female,Single,7,,,,611.42,0
Sales Executive,IT & Software,52,Female,Married,7,,,,550.25,0
Product Manager,IT & Software,34,Female,Married,7,,,,303.75,0
Data Scientist,Field Operations,25,Male,Married,2,,,,449.67,0
Billing Specialist,Customer Service,30,Female,Married,8,,,,241.79,0
Data Scientist,Human Resources,34,Male,Single,6,Termination,8/23/2023,Restructuring,303.4166667,1
Customer Support Agent,Network Operations,28,Male,Single,1,,,,269.67,0
Product Manager,Human Resources,23,Male,Single,3,,,,346.04,0
Billing Specialist,Billing,43,Female,Married,3,,,,420.88,0
Network Engineer,IT & Software,33,Female,Single,6,,,,231.79,0
IT Support Engineer,Customer Service,51,Female,Married,2,Termination,1/27/2025,Work-life balance,395.5,1
Software Developer,Sales & Marketing,60,Male,Single,1,Retirement,8/22/2023,Performance issues,147.5,1
Data Scientist,IT & Software,45,Female,Single,2,,,,154.0,0
Software Developer,Network Operations,34,Female,Married,3,,,,344.0,0
Product Manager,Human Resources,23,Female,Single,8,,,,395.17,0
Sales Executive,Sales & Marketing,46,Female,Married,3,,,,318.5,0
Sales Executive,Billing,53,Male,Single,9,Termination,4/16/2024,Policy violation,434.7916667,1
Customer Support Agent,Project Management,35,Female,Married,5,,,,528.67,0
Sales Executive,Field Operations,24,Male,Married,7,,,,177.13,0
Billing Specialist,Customer Service,60,Male,Married,7,Retirement,4/20/2023,Performance issues,301.875,1
Customer Support Agent,Network Operations,55,Female,Single,4,,,,418.25,0
Customer Support Agent,Customer Service,25,Female,Single,4,,,,149.75,0
Marketing Analyst,IT & Software,25,Female,Single,8,,,,584.33,0
Billing Specialist,Field Operations,31,Male,Single,4,,,,358.29,0
Customer Support Agent,Sales & Marketing,49,Female,Single,4,,,,242.79,0
Data Scientist,Human Resources,22,Female,Single,4,,,,180.38,0
IT Support Engineer,Field Operations,45,Female,Single,2,,,,163.88,0
Network Engineer,Billing,26,Female,Single,2,,,,329.29,0
HR Specialist,Project Management,41,Male,Single,5,,,,199.42,0
Software Developer,Sales & Marketing,45,Male,Single,2,,,,365.79,0
Billing Specialist,Sales & Marketing,32,Female,Single,8,,,,402.29,0
HR Specialist,Field Operations,22,Female,Single,8,,,,351.58,0
Marketing Analyst,Data Analytics,43,Male,Married,2,Resignation,6/16/2023,Work-life balance,362.6666667,1
IT Support Engineer,Network Operations,27,Male,Married,7,,,,435.33,0
Network Engineer,Project Management,36,Female,Married,5,,,,277.63,0
Marketing Analyst,Human Resources,44,Male,Single,5,Termination,7/21/2024,Work-life balance,329.5,1
Software Developer,Sales & Marketing,29,Male,Married,1,,,,726.29,0
Marketing Analyst,Network Operations,54,Female,Married,5,Resignation,5/10/2024,Personal reasons,399.875,1
IT Support Engineer,Sales & Marketing,52,Male,Single,7,,,,372.04,0
Sales Executive,Field Operations,55,Female,Single,2,,,,223.75,0
Software Developer,IT & Software,46,Female,Single,8,,,,488.58,0
Marketing Analyst,Customer Service,34,Female,Single,8,,,,275.42,0
Sales Executive,Billing,43,Male,Married,8,,,,407.58,0
Customer Support Agent,Field Operations,49,Male,Single,8,,,,230.38,0
Telecom Technician,Sales & Marketing,42,Female,Married,3,,,,386.04,0
Software Developer,Project Management,30,Male,Single,5,,,,400.0,0
Product Manager,Customer Service,26,Male,Married,6,Termination,6/19/2024,Pursuing education,163.0416667,1
Billing Specialist,IT & Software,28,Female,Single,2,,,,285.29,0
Software Developer,Human Resources,51,Male,Single,7,,,,300.13,0
Billing Specialist,Data Analytics,22,Male,Single,4,,,,397.83,0
IT Support Engineer,IT & Software,24,Female,Married,8,,,,612.38,0
Data Scientist,Human Resources,36,Female,Single,3,,,,322.25,0
Product Manager,Sales & Marketing,55,Male,Single,7,,,,326.58,0
Project Manager,Human Resources,32,Female,Married,8,,,,424.29,0
IT Support Engineer,Customer Service,34,Female,Single,8,,,,396.75,0
Software Developer,Data Analytics,43,Female,Single,7,,,,149.58,0
Network Engineer,Field Operations,42,Male,Married,2,,,,341.25,0
Data Scientist,Sales & Marketing,43,Male,Married,6,,,,364.29,0
Customer Support Agent,Field Operations,23,Male,Single,7,,,,170.79,0
Project Manager,IT & Software,29,Male,Married,7,Resignation,9/12/2023,Performance issues,368.9166667,1
Product Manager,IT & Software,45,Female,Married,3,,,,285.83,0
Project Manager,Sales & Marketing,46,Male,Single,5,,,,474.13,0
Telecom Technician,Human Resources,26,Male,Single,8,,,,333.42,0
Billing Specialist,Sales & Marketing,51,Female,Single,7,,,,325.25,0
IT Support Engineer,Project Management,55,Male,Single,6,,,,362.33,0
Software Developer,IT & Software,38,Male,Single,8,,,,289.92,0
Project Manager,Human Resources,28,Female,Married,9,Resignation,5/15/2023,Policy violation,498.2916667,1
Product Manager,Billing,47,Male,Single,7,,,,341.75,0
IT Support Engineer,Network Operations,49,Female,Married,2,,,,288.04,0
Data Scientist,Human Resources,54,Male,Married,4,,,,369.33,0
IT Support Engineer,Customer Service,46,Female,Single,4,,,,725.54,0
Customer Support Agent,IT & Software,25,Male,Single,8,,,,498.33,0
Billing Specialist,Project Management,60,Female,Single,2,Retirement,1/24/2025,Personal reasons,144.1666667,1
Customer Support Agent,Billing,25,Female,Single,7,,,,408.67,0
Project Manager,Field Operations,51,Male,Married,7,,,,405.17,0
Sales Executive,Network Operations,36,Male,Married,7,,,,221.42,0
Telecom Technician,Data Analytics,42,Male,Married,2,,,,368.5,0
Software Developer,Human Resources,26,Male,Married,4,,,,344.5,0
Network Engineer,Sales & Marketing,25,Female,Single,4,,,,498.0,0
HR Specialist,Customer Service,29,Male,Single,8,,,,378.38,0
Sales Executive,Human Resources,23,Male,Single,7,,,,184.33,0
Data Scientist,Customer Service,54,Female,Married,2,,,,272.54,0
Network Engineer,Field Operations,42,Female,Married,4,,,,332.83,0
Project Manager,Project Management,58,Male,Married,1,,,,485.17,0
Customer Support Agent,Data Analytics,28,Female,Single,6,,,,426.58,0
Product Manager,Project Management,23,Female,Single,2,,,,176.29,0
Customer Support Agent,Network Operations,25,Male,Married,4,Termination,7/28/2023,Performance issues,489.4166667,1
Sales Executive,Sales & Marketing,34,Male,Married,7,,,,271.63,0
Project Manager,Project Management,25,Male,Single,4,,,,396.88,0
IT Support Engineer,Human Resources,25,Male,Single,7,,,,433.83,0
Network Engineer,Project Management,48,Female,Married,10,Termination,2/23/2024,Personal reasons,155.2916667,1
Product Manager,Customer Service,60,Male,Single,2,Retirement,5/11/2023,Pursuing education,251.5833333,1
HR Specialist,Network Operations,51,Male,Married,7,,,,583.13,0
Network Engineer,Field Operations,48,Female,Married,8,,,,300.92,0
Sales Executive,Human Resources,27,Female,Single,8,,,,163.75,0
Software Developer,Data Analytics,37,Female,Single,8,,,,480.88,0
Data Scientist,Billing,50,Male,Married,3,,,,648.54,0
HR Specialist,Network Operations,28,Male,Single,8,,,,198.13,0
Data Scientist,Customer Service,25,Male,Married,7,,,,401.79,0
Marketing Analyst,Project Management,33,Male,Single,4,,,,616.42,0
Sales Executive,Customer Service,48,Male,Married,6,Termination,8/11/2024,Work-life balance,493.4166667,1
HR Specialist,Customer Service,37,Male,Single,5,,,,483.58,0
Project Manager,Billing,43,Male,Married,3,,,,672.54,0
Sales Executive,Field Operations,27,Male,Married,2,,,,201.54,0
IT Support Engineer,Project Management,49,Female,Married,8,,,,329.79,0
Data Scientist,Sales & Marketing,49,Male,Single,6,,,,451.29,0
Customer Support Agent,IT & Software,49,Female,Married,3,,,,402.38,0
Network Engineer,Billing,57,Male,Single,6,,,,151.88,0
Sales Executive,Human Resources,58,Male,Single,8,,,,306.88,0
Data Scientist,Sales & Marketing,44,Male,Single,4,Resignation,11/25/2023,Personal reasons,312.0,1
Telecom Technician,Project Management,47,Female,Single,3,,,,273.92,0
Customer Support Agent,IT & Software,50,Female,Married,7,,,,372.83,0
Software Developer,Customer Service,42,Female,Single,6,,,,235.58,0
Marketing Analyst,Network Operations,32,Male,Married,4,,,,156.17,0
Marketing Analyst,Billing,57,Male,Single,4,Resignation,11/6/2024,Work-life balance,502.875,1
Software Developer,Network Operations,52,Female,Married,3,Termination,5/2/2024,Pursuing education,296.6666667,1
Telecom Technician,Project Management,47,Female,Married,8,,,,318.63,0
Software Developer,Customer Service,47,Female,Single,4,,,,486.17,0
Software Developer,Human Resources,27,Male,Married,6,,,,577.08,0
Sales Executive,Sales & Marketing,36,Male,Single,2,,,,383.13,0
Telecom Technician,IT & Software,46,Female,Married,8,Termination,1/12/2025,Restructuring,475.7916667,1
Marketing Analyst,Sales & Marketing,52,Female,Married,7,,,,406.38,0
Marketing Analyst,Sales & Marketing,39,Female,Single,2,,,,159.13,0
Data Scientist,Project Management,37,Male,Single,2,,,,285.33,0
Sales Executive,IT & Software,38,Female,Married,3,,,,321.38,0
Sales Executive,Field Operations,58,Male,Single,5,,,,284.29,0
Network Engineer,IT & Software,43,Female,Married,2,,,,376.54,0
Project Manager,Customer Service,59,Female,Married,2,Resignation,10/9/2023,Personal reasons,231.9166667,1
HR Specialist,Sales & Marketing,41,Male,Single,6,,,,363.0,0
Project Manager,Field Operations,36,Female,Single,7,,,,550.58,0
Billing Specialist,Network Operations,35,Male,Married,6,Termination,6/9/2023,Policy violation,138.5,1
Software Developer,Field Operations,24,Male,Single,7,,,,174.75,0
Customer Support Agent,IT & Software,33,Male,Married,7,,,,163.42,0
HR Specialist,Project Management,39,Female,Married,2,Termination,6/6/2023,Performance issues,347.375,1
Software Developer,Human Resources,57,Female,Single,8,,,,523.42,0
Data Scientist,IT & Software,60,Female,Married,6,Retirement,6/23/2023,Better opportunity,388.0,1
Customer Support Agent,Billing,53,Male,Single,3,,,,727.5,0
Data Scientist,Field Operations,43,Male,Single,2,,,,489.58,0
IT Support Engineer,Field Operations,46,Male,Married,8,,,,493.88,0
